mode,case_id,shape,backend,warmup,iters,median_ms,p95_ms,min_ms,max_ms
padded,"B=1,T=63,H=1,D=64,gate_norm=1.0,mask_p=0.0","B=1,T=63,H=1,D=64,gate_norm=1.0,mask_p=0.0",fla,20,100,0.031104,0.031395,0.030816,0.033056
padded,"B=1,T=63,H=1,D=64,gate_norm=1.0,mask_p=0.0","B=1,T=63,H=1,D=64,gate_norm=1.0,mask_p=0.0",gdn_cuda,20,100,0.070080,0.070368,0.069696,0.072128
padded,"B=2,T=500,H=3,D=60,gate_norm=1.0,mask_p=0.0","B=2,T=500,H=3,D=60,gate_norm=1.0,mask_p=0.0",fla,20,100,0.041440,0.041698,0.040672,0.043968
padded,"B=2,T=500,H=3,D=60,gate_norm=1.0,mask_p=0.0","B=2,T=500,H=3,D=60,gate_norm=1.0,mask_p=0.0",gdn_cuda,20,100,0.090368,0.090594,0.089920,0.092832
padded,"B=2,T=1000,H=3,D=64,gate_norm=1.0,mask_p=0.5","B=2,T=1000,H=3,D=64,gate_norm=1.0,mask_p=0.5",fla,20,100,0.046944,0.047136,0.046560,0.048800
padded,"B=2,T=1000,H=3,D=64,gate_norm=1.0,mask_p=0.5","B=2,T=1000,H=3,D=64,gate_norm=1.0,mask_p=0.5",gdn_cuda,20,100,0.094688,0.094979,0.094240,0.096512
padded,"B=3,T=1024,H=4,D=100,gate_norm=0.1,mask_p=0.0","B=3,T=1024,H=4,D=100,gate_norm=0.1,mask_p=0.0",fla,20,100,0.073280,0.073856,0.072608,0.074912
padded,"B=3,T=1024,H=4,D=100,gate_norm=0.1,mask_p=0.0","B=3,T=1024,H=4,D=100,gate_norm=0.1,mask_p=0.0",gdn_cuda,20,100,0.200768,0.201899,0.199808,0.203232
padded,"B=4,T=1024,H=4,D=128,gate_norm=1.0,mask_p=0.0","B=4,T=1024,H=4,D=128,gate_norm=1.0,mask_p=0.0",fla,20,100,0.069888,0.070437,0.068576,0.072256
padded,"B=4,T=1024,H=4,D=128,gate_norm=1.0,mask_p=0.0","B=4,T=1024,H=4,D=128,gate_norm=1.0,mask_p=0.0",gdn_cuda,20,100,0.186240,0.187170,0.184928,0.187552
padded,"B=2,T=1500,H=4,D=128,gate_norm=10.0,mask_p=0.0","B=2,T=1500,H=4,D=128,gate_norm=10.0,mask_p=0.0",fla,20,100,0.072448,0.072672,0.072000,0.073856
padded,"B=2,T=1500,H=4,D=128,gate_norm=10.0,mask_p=0.0","B=2,T=1500,H=4,D=128,gate_norm=10.0,mask_p=0.0",gdn_cuda,20,100,0.196640,0.197866,0.195360,0.198816
padded,"B=4,T=2048,H=8,D=64,gate_norm=1.0,mask_p=0.0","B=4,T=2048,H=8,D=64,gate_norm=1.0,mask_p=0.0",fla,20,100,0.128416,0.129280,0.127264,0.130304
padded,"B=4,T=2048,H=8,D=64,gate_norm=1.0,mask_p=0.0","B=4,T=2048,H=8,D=64,gate_norm=1.0,mask_p=0.0",gdn_cuda,20,100,0.553312,0.554726,0.550752,0.556384
padded,"B=8,T=512,H=8,D=64,gate_norm=1.0,mask_p=0.0","B=8,T=512,H=8,D=64,gate_norm=1.0,mask_p=0.0",fla,20,100,0.060224,0.065728,0.059040,0.066048
padded,"B=8,T=512,H=8,D=64,gate_norm=1.0,mask_p=0.0","B=8,T=512,H=8,D=64,gate_norm=1.0,mask_p=0.0",gdn_cuda,20,100,0.282432,0.283138,0.280992,0.284672
padded,"B=16,T=512,H=8,D=64,gate_norm=1.0,mask_p=0.0","B=16,T=512,H=8,D=64,gate_norm=1.0,mask_p=0.0",fla,20,100,0.113728,0.114437,0.112704,0.115680
padded,"B=16,T=512,H=8,D=64,gate_norm=1.0,mask_p=0.0","B=16,T=512,H=8,D=64,gate_norm=1.0,mask_p=0.0",gdn_cuda,20,100,0.509728,0.510726,0.508512,0.511680
padded,"B=32,T=256,H=8,D=64,gate_norm=1.0,mask_p=0.0","B=32,T=256,H=8,D=64,gate_norm=1.0,mask_p=0.0",fla,20,100,0.118336,0.119491,0.117216,0.120224
padded,"B=32,T=256,H=8,D=64,gate_norm=1.0,mask_p=0.0","B=32,T=256,H=8,D=64,gate_norm=1.0,mask_p=0.0",gdn_cuda,20,100,0.510080,0.511334,0.508576,0.512096
padded,"B=64,T=128,H=8,D=64,gate_norm=1.0,mask_p=0.0","B=64,T=128,H=8,D=64,gate_norm=1.0,mask_p=0.0",fla,20,100,0.124384,0.125314,0.123264,0.125536
padded,"B=64,T=128,H=8,D=64,gate_norm=1.0,mask_p=0.0","B=64,T=128,H=8,D=64,gate_norm=1.0,mask_p=0.0",gdn_cuda,20,100,0.513920,0.515202,0.512320,0.515552
padded,"B=8,T=512,H=8,D=128,gate_norm=1.0,mask_p=0.0","B=8,T=512,H=8,D=128,gate_norm=1.0,mask_p=0.0",fla,20,100,0.093696,0.094629,0.092736,0.097824
padded,"B=8,T=512,H=8,D=128,gate_norm=1.0,mask_p=0.0","B=8,T=512,H=8,D=128,gate_norm=1.0,mask_p=0.0",gdn_cuda,20,100,0.301056,0.302178,0.299360,0.303584
padded,"B=16,T=256,H=8,D=128,gate_norm=1.0,mask_p=0.0","B=16,T=256,H=8,D=128,gate_norm=1.0,mask_p=0.0",fla,20,100,0.105152,0.106261,0.099328,0.108192
padded,"B=16,T=256,H=8,D=128,gate_norm=1.0,mask_p=0.0","B=16,T=256,H=8,D=128,gate_norm=1.0,mask_p=0.0",gdn_cuda,20,100,0.302272,0.303499,0.300992,0.305184
padded,"B=32,T=128,H=8,D=128,gate_norm=1.0,mask_p=0.0","B=32,T=128,H=8,D=128,gate_norm=1.0,mask_p=0.0",fla,20,100,0.111008,0.111875,0.109664,0.112896
padded,"B=32,T=128,H=8,D=128,gate_norm=1.0,mask_p=0.0","B=32,T=128,H=8,D=128,gate_norm=1.0,mask_p=0.0",gdn_cuda,20,100,0.311040,0.311906,0.309952,0.312160
padded,"B=64,T=64,H=8,D=128,gate_norm=1.0,mask_p=0.0","B=64,T=64,H=8,D=128,gate_norm=1.0,mask_p=0.0",fla,20,100,0.123040,0.123874,0.121984,0.124224
padded,"B=64,T=64,H=8,D=128,gate_norm=1.0,mask_p=0.0","B=64,T=64,H=8,D=128,gate_norm=1.0,mask_p=0.0",gdn_cuda,20,100,0.322400,0.323622,0.321280,0.324736
varlen,"B=1,total_tokens=15,H=4,D=60,mask_p=0.0","B=1,total_tokens=15,H=4,D=60,mask_p=0.0",fla,20,100,0.026240,0.026530,0.025824,0.027904
varlen,"B=1,total_tokens=15,H=4,D=60,mask_p=0.0","B=1,total_tokens=15,H=4,D=60,mask_p=0.0",gdn_cuda,20,100,0.080864,0.081122,0.080448,0.083456
varlen,"B=3,total_tokens=1000,H=4,D=64,mask_p=0.0","B=3,total_tokens=1000,H=4,D=64,mask_p=0.0",fla,20,100,0.039776,0.039970,0.039296,0.042112
varlen,"B=3,total_tokens=1000,H=4,D=64,mask_p=0.0","B=3,total_tokens=1000,H=4,D=64,mask_p=0.0",gdn_cuda,20,100,0.090080,0.090336,0.089632,0.092064
varlen,"B=3,total_tokens=1000,H=4,D=64,mask_p=0.5","B=3,total_tokens=1000,H=4,D=64,mask_p=0.5",fla,20,100,0.039776,0.039968,0.039296,0.041632
varlen,"B=3,total_tokens=1000,H=4,D=64,mask_p=0.5","B=3,total_tokens=1000,H=4,D=64,mask_p=0.5",gdn_cuda,20,100,0.090112,0.090405,0.089536,0.091744
varlen,"B=5,total_tokens=2000,H=4,D=100,mask_p=0.0","B=5,total_tokens=2000,H=4,D=100,mask_p=0.0",fla,20,100,0.072896,0.073314,0.072416,0.074368
