mode,case_id,shape,backend,warmup,iters,median_ms,p95_ms,min_ms,max_ms
padded,"B=1,T=63,H=1,D=64,gate_norm=1.0,mask_p=0.0","B=1,T=63,H=1,D=64,gate_norm=1.0,mask_p=0.0",fla,20,100,0.414176,0.446208,0.400960,0.534560
padded,"B=1,T=63,H=1,D=64,gate_norm=1.0,mask_p=0.0","B=1,T=63,H=1,D=64,gate_norm=1.0,mask_p=0.0",gdn_cuda,20,100,0.080736,0.086915,0.077408,0.112512
padded,"B=2,T=500,H=3,D=60,gate_norm=1.0,mask_p=0.0","B=2,T=500,H=3,D=60,gate_norm=1.0,mask_p=0.0",fla,20,100,0.432480,0.537626,0.398208,0.912320
padded,"B=2,T=500,H=3,D=60,gate_norm=1.0,mask_p=0.0","B=2,T=500,H=3,D=60,gate_norm=1.0,mask_p=0.0",gdn_cuda,20,100,0.102560,0.106530,0.099424,0.146048
padded,"B=2,T=1000,H=3,D=64,gate_norm=1.0,mask_p=0.5","B=2,T=1000,H=3,D=64,gate_norm=1.0,mask_p=0.5",fla,20,100,0.412800,0.439850,0.397568,0.776544
padded,"B=2,T=1000,H=3,D=64,gate_norm=1.0,mask_p=0.5","B=2,T=1000,H=3,D=64,gate_norm=1.0,mask_p=0.5",gdn_cuda,20,100,0.101920,0.102498,0.100608,0.137120
padded,"B=3,T=1024,H=4,D=100,gate_norm=0.1,mask_p=0.0","B=3,T=1024,H=4,D=100,gate_norm=0.1,mask_p=0.0",fla,20,100,0.414688,0.451888,0.398240,0.544384
padded,"B=3,T=1024,H=4,D=100,gate_norm=0.1,mask_p=0.0","B=3,T=1024,H=4,D=100,gate_norm=0.1,mask_p=0.0",gdn_cuda,20,100,0.210560,0.211810,0.209056,0.248704
padded,"B=4,T=1024,H=4,D=128,gate_norm=1.0,mask_p=0.0","B=4,T=1024,H=4,D=128,gate_norm=1.0,mask_p=0.0",fla,20,100,0.409472,0.441765,0.395488,0.489184
padded,"B=4,T=1024,H=4,D=128,gate_norm=1.0,mask_p=0.0","B=4,T=1024,H=4,D=128,gate_norm=1.0,mask_p=0.0",gdn_cuda,20,100,0.193760,0.195906,0.191584,0.229216
padded,"B=2,T=1500,H=4,D=128,gate_norm=10.0,mask_p=0.0","B=2,T=1500,H=4,D=128,gate_norm=10.0,mask_p=0.0",fla,20,100,0.407488,0.432784,0.393120,0.722272
padded,"B=2,T=1500,H=4,D=128,gate_norm=10.0,mask_p=0.0","B=2,T=1500,H=4,D=128,gate_norm=10.0,mask_p=0.0",gdn_cuda,20,100,0.203264,0.205123,0.201088,0.239520
padded,"B=4,T=2048,H=8,D=64,gate_norm=1.0,mask_p=0.0","B=4,T=2048,H=8,D=64,gate_norm=1.0,mask_p=0.0",fla,20,100,0.411040,0.448478,0.394720,0.816864
padded,"B=4,T=2048,H=8,D=64,gate_norm=1.0,mask_p=0.0","B=4,T=2048,H=8,D=64,gate_norm=1.0,mask_p=0.0",gdn_cuda,20,100,0.558720,0.561344,0.556032,0.592672
padded,"B=8,T=512,H=8,D=64,gate_norm=1.0,mask_p=0.0","B=8,T=512,H=8,D=64,gate_norm=1.0,mask_p=0.0",fla,20,100,0.406624,0.437144,0.392032,0.493056
padded,"B=8,T=512,H=8,D=64,gate_norm=1.0,mask_p=0.0","B=8,T=512,H=8,D=64,gate_norm=1.0,mask_p=0.0",gdn_cuda,20,100,0.283552,0.285667,0.281568,0.319264
padded,"B=16,T=512,H=8,D=64,gate_norm=1.0,mask_p=0.0","B=16,T=512,H=8,D=64,gate_norm=1.0,mask_p=0.0",fla,20,100,0.404512,0.430920,0.389312,0.461376
padded,"B=16,T=512,H=8,D=64,gate_norm=1.0,mask_p=0.0","B=16,T=512,H=8,D=64,gate_norm=1.0,mask_p=0.0",gdn_cuda,20,100,0.517632,0.520419,0.515328,0.550912
padded,"B=32,T=256,H=8,D=64,gate_norm=1.0,mask_p=0.0","B=32,T=256,H=8,D=64,gate_norm=1.0,mask_p=0.0",fla,20,100,0.406912,0.442027,0.389664,0.786336
padded,"B=32,T=256,H=8,D=64,gate_norm=1.0,mask_p=0.0","B=32,T=256,H=8,D=64,gate_norm=1.0,mask_p=0.0",gdn_cuda,20,100,0.517280,0.519459,0.514624,0.549152
padded,"B=64,T=128,H=8,D=64,gate_norm=1.0,mask_p=0.0","B=64,T=128,H=8,D=64,gate_norm=1.0,mask_p=0.0",fla,20,100,0.403808,0.443770,0.389664,0.718880
padded,"B=64,T=128,H=8,D=64,gate_norm=1.0,mask_p=0.0","B=64,T=128,H=8,D=64,gate_norm=1.0,mask_p=0.0",gdn_cuda,20,100,0.520928,0.523650,0.517120,0.551680
padded,"B=8,T=512,H=8,D=128,gate_norm=1.0,mask_p=0.0","B=8,T=512,H=8,D=128,gate_norm=1.0,mask_p=0.0",fla,20,100,0.410752,0.444277,0.397792,0.759200
padded,"B=8,T=512,H=8,D=128,gate_norm=1.0,mask_p=0.0","B=8,T=512,H=8,D=128,gate_norm=1.0,mask_p=0.0",gdn_cuda,20,100,0.309568,0.312426,0.306400,0.339328
padded,"B=16,T=256,H=8,D=128,gate_norm=1.0,mask_p=0.0","B=16,T=256,H=8,D=128,gate_norm=1.0,mask_p=0.0",fla,20,100,0.403232,0.443486,0.386944,0.796928
padded,"B=16,T=256,H=8,D=128,gate_norm=1.0,mask_p=0.0","B=16,T=256,H=8,D=128,gate_norm=1.0,mask_p=0.0",gdn_cuda,20,100,0.309568,0.312971,0.307104,0.343136
padded,"B=32,T=128,H=8,D=128,gate_norm=1.0,mask_p=0.0","B=32,T=128,H=8,D=128,gate_norm=1.0,mask_p=0.0",fla,20,100,0.405632,0.432035,0.393088,0.700832
padded,"B=32,T=128,H=8,D=128,gate_norm=1.0,mask_p=0.0","B=32,T=128,H=8,D=128,gate_norm=1.0,mask_p=0.0",gdn_cuda,20,100,0.317632,0.320653,0.315616,0.347840
padded,"B=64,T=64,H=8,D=128,gate_norm=1.0,mask_p=0.0","B=64,T=64,H=8,D=128,gate_norm=1.0,mask_p=0.0",fla,20,100,0.405760,0.435318,0.392768,0.689664
padded,"B=64,T=64,H=8,D=128,gate_norm=1.0,mask_p=0.0","B=64,T=64,H=8,D=128,gate_norm=1.0,mask_p=0.0",gdn_cuda,20,100,0.329184,0.332501,0.327200,0.368128
varlen,"B=1,total_tokens=15,H=4,D=60,mask_p=0.0","B=1,total_tokens=15,H=4,D=60,mask_p=0.0",fla,20,100,0.427264,0.458347,0.408640,0.536608
varlen,"B=1,total_tokens=15,H=4,D=60,mask_p=0.0","B=1,total_tokens=15,H=4,D=60,mask_p=0.0",gdn_cuda,20,100,0.099776,0.105832,0.097152,0.138976
varlen,"B=3,total_tokens=1000,H=4,D=64,mask_p=0.0","B=3,total_tokens=1000,H=4,D=64,mask_p=0.0",fla,20,100,0.425728,0.450938,0.410464,0.540576
varlen,"B=3,total_tokens=1000,H=4,D=64,mask_p=0.0","B=3,total_tokens=1000,H=4,D=64,mask_p=0.0",gdn_cuda,20,100,0.096352,0.096931,0.095456,0.131392
varlen,"B=3,total_tokens=1000,H=4,D=64,mask_p=0.5","B=3,total_tokens=1000,H=4,D=64,mask_p=0.5",fla,20,100,0.426976,0.452738,0.412832,0.814240
varlen,"B=3,total_tokens=1000,H=4,D=64,mask_p=0.5","B=3,total_tokens=1000,H=4,D=64,mask_p=0.5",gdn_cuda,20,100,0.096576,0.097029,0.095520,0.128256
varlen,"B=5,total_tokens=2000,H=4,D=100,mask_p=0.0","B=5,total_tokens=2000,H=4,D=100,mask_p=0.0",fla,20,100,0.427136,0.442978,0.412960,0.501088
varlen,"B=5,total_tokens=2000,H=4,D=100,mask_p=0.0","B=5,total_tokens=2000,H=4,D=100,mask_p=0.0",gdn_cuda,20,100,0.204736,0.206886,0.202272,0.284960
varlen,"B=1,total_tokens=8192,H=4,D=60,mask_p=0.0","B=1,total_tokens=8192,H=4,D=60,mask_p=0.0",fla,20,100,0.444096,0.476451,0.425632,0.516480
varlen,"B=1,total_tokens=8192,H=4,D=60,mask_p=0.0","B=1,total_tokens=8192,H=4,D=60,mask_p=0.0",gdn_cuda,20,100,0.497504,0.500688,0.494400,0.525248
varlen,"B=8,total_tokens=4096,H=4,D=64,mask_p=0.0","B=8,total_tokens=4096,H=4,D=64,mask_p=0.0",fla,20,100,0.418912,0.440994,0.404192,0.452576
varlen,"B=8,total_tokens=4096,H=4,D=64,mask_p=0.0","B=8,total_tokens=4096,H=4,D=64,mask_p=0.0",gdn_cuda,20,100,0.153632,0.155046,0.152256,0.186432
varlen,"B=16,total_tokens=8192,H=4,D=64,mask_p=0.0","B=16,total_tokens=8192,H=4,D=64,mask_p=0.0",fla,20,100,0.419392,0.444424,0.406656,0.779808
varlen,"B=16,total_tokens=8192,H=4,D=64,mask_p=0.0","B=16,total_tokens=8192,H=4,D=64,mask_p=0.0",gdn_cuda,20,100,0.291424,0.292546,0.289888,0.326592
varlen,"B=32,total_tokens=8192,H=4,D=64,mask_p=0.0","B=32,total_tokens=8192,H=4,D=64,mask_p=0.0",fla,20,100,0.423648,0.439888,0.410752,0.462944
varlen,"B=32,total_tokens=8192,H=4,D=64,mask_p=0.0","B=32,total_tokens=8192,H=4,D=64,mask_p=0.0",gdn_cuda,20,100,0.287040,0.288643,0.284032,0.318720
varlen,"B=64,total_tokens=8192,H=4,D=64,mask_p=0.0","B=64,total_tokens=8192,H=4,D=64,mask_p=0.0",fla,20,100,0.423392,0.449546,0.411456,0.465504
varlen,"B=64,total_tokens=8192,H=4,D=64,mask_p=0.0","B=64,total_tokens=8192,H=4,D=64,mask_p=0.0",gdn_cuda,20,100,0.289504,0.292200,0.287424,0.324320
varlen,"B=32,total_tokens=4096,H=4,D=128,mask_p=0.0","B=32,total_tokens=4096,H=4,D=128,mask_p=0.0",fla,20,100,0.426080,0.453562,0.411840,0.510848
varlen,"B=32,total_tokens=4096,H=4,D=128,mask_p=0.0","B=32,total_tokens=4096,H=4,D=128,mask_p=0.0",gdn_cuda,20,100,0.189952,0.192938,0.187680,0.224736
varlen,"B=64,total_tokens=6656,H=4,D=128,mask_p=0.0","B=64,total_tokens=6656,H=4,D=128,mask_p=0.0",fla,20,100,0.425248,0.447848,0.411136,0.696960
varlen,"B=64,total_tokens=6656,H=4,D=128,mask_p=0.0","B=64,total_tokens=6656,H=4,D=128,mask_p=0.0",gdn_cuda,20,100,0.344704,0.347498,0.342496,0.374176
varlen,"B=128,total_tokens=4608,H=4,D=64,mask_p=0.5","B=128,total_tokens=4608,H=4,D=64,mask_p=0.5",fla,20,100,0.421856,0.434757,0.408128,0.457216
varlen,"B=128,total_tokens=4608,H=4,D=64,mask_p=0.5","B=128,total_tokens=4608,H=4,D=64,mask_p=0.5",gdn_cuda,20,100,0.284288,0.287048,0.282176,0.316416
